datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 16:05:00,2.39840000,2.40540000,2.39820000,2.40200000,1048897.00000000,2520671.97120000,4521,327884.00000000,787809.92340000
2025-01-02 16:10:00,2.40190000,2.41080000,2.40000000,2.40890000,912726.00000000,2196298.00740000,4828,517139.00000000,1244411.13560000
2025-01-02 16:15:00,2.40890000,2.41390000,2.40550000,2.40780000,1596729.00000000,3847353.86650000,6478,997283.00000000,2402744.31050000
2025-01-02 16:20:00,2.40770000,2.40990000,2.40430000,2.40700000,543467.00000000,1308180.18610000,3151,285109.00000000,686210.78350000
2025-01-02 16:25:00,2.40690000,2.41080000,2.40590000,2.40980000,629261.00000000,1515932.92940000,3277,372338.00000000,896940.26550000
2025-01-02 16:30:00,2.40970000,2.41000000,2.40120000,2.40460000,795801.00000000,1914265.43340000,4176,323064.00000000,777026.64340000
2025-01-02 16:35:00,2.40450000,2.40890000,2.40280000,2.40430000,505436.00000000,1216223.66010000,3703,264826.00000000,637198.84370000
2025-01-02 16:40:00,2.40430000,2.40940000,2.40400000,2.40930000,665614.00000000,1601391.95560000,3552,349292.00000000,840325.54560000
2025-01-02 16:45:00,2.40940000,2.42200000,2.40680000,2.42150000,2208975.00000000,5341418.98880000,7027,1294049.00000000,3128333.01260000
2025-01-02 16:50:00,2.42150000,2.42190000,2.41060000,2.41540000,962592.00000000,2328239.70800000,5087,530866.00000000,1284293.98080000
2025-01-02 16:55:00,2.41550000,2.42050000,2.41450000,2.41890000,533511.00000000,1290202.72110000,3358,273442.00000000,661291.32940000
2025-01-02 17:00:00,2.41900000,2.42300000,2.41520000,2.42030000,779210.00000000,1885759.82470000,4621,449113.00000000,1086879.39030000
2025-01-02 17:05:00,2.42040000,2.43490000,2.41910000,2.43050000,2500262.00000000,6075291.62650000,9485,1510278.00000000,3669458.77670000
2025-01-02 17:10:00,2.43050000,2.43260000,2.42390000,2.43200000,1190599.00000000,2892116.83000000,5536,714433.00000000,1735577.72310000
2025-01-02 17:15:00,2.43200000,2.43800000,2.42750000,2.42810000,1770256.00000000,4307816.73980000,6716,1001759.00000000,2437826.30210000
2025-01-02 17:20:00,2.42820000,2.42980000,2.42200000,2.42340000,569271.00000000,1380649.46730000,3888,233876.00000000,567151.33110000
2025-01-02 17:25:00,2.42340000,2.42760000,2.42250000,2.42710000,528843.00000000,1282321.88680000,3562,222637.00000000,539931.24510000
2025-01-02 17:30:00,2.42700000,2.42750000,2.41240000,2.42090000,1722583.00000000,4168728.93980000,6778,664464.00000000,1608025.78810000
2025-01-02 17:35:00,2.42090000,2.42710000,2.41180000,2.41260000,2046063.00000000,4947522.23550000,7444,798875.00000000,1932881.84560000
2025-01-02 17:40:00,2.41260000,2.41600000,2.39600000,2.39820000,2781498.00000000,6686943.13560000,12288,1280834.00000000,3080305.45640000
2025-01-02 17:45:00,2.39830000,2.40130000,2.37560000,2.37570000,4156785.00000000,9914729.18780000,14349,1755936.00000000,4185221.14940000
2025-01-02 17:50:00,2.37570000,2.38640000,2.37560000,2.38630000,1529654.00000000,3643965.93210000,7921,934068.00000000,2224921.15410000
2025-01-02 17:55:00,2.38630000,2.39610000,2.38620000,2.39600000,1376215.00000000,3291472.35540000,5911,854173.00000000,2042830.10040000
2025-01-02 18:00:00,2.39590000,2.39900000,2.38560000,2.38940000,1058459.00000000,2532529.97620000,5264,589234.00000000,1409853.76590000
